"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2007","Italy","15 years","Age reached during the year","Number","Total","332",""
"2007","Italy","15 years","Age reached during the year","Number","Males","167",""
"2007","Italy","15 years","Age reached during the year","Number","Females","165",""
"2007","Italy","16 years","Age reached during the year","Number","Total","328",""
"2007","Italy","16 years","Age reached during the year","Number","Males","176",""
"2007","Italy","16 years","Age reached during the year","Number","Females","152",""
"2007","Italy","17 years","Age reached during the year","Number","Total","317",""
"2007","Italy","17 years","Age reached during the year","Number","Males","155",""
"2007","Italy","17 years","Age reached during the year","Number","Females","162",""
"2007","Italy","18 years","Age reached during the year","Number","Total","297",""
"2007","Italy","18 years","Age reached during the year","Number","Males","160",""
"2007","Italy","18 years","Age reached during the year","Number","Females","137",""
"2007","Italy","19 years","Age reached during the year","Number","Total","378",""
"2007","Italy","19 years","Age reached during the year","Number","Males","185",""
"2007","Italy","19 years","Age reached during the year","Number","Females","193",""
"2007","Italy","20 years","Age reached during the year","Number","Total","516",""
"2007","Italy","20 years","Age reached during the year","Number","Males","274",""
"2007","Italy","20 years","Age reached during the year","Number","Females","242",""
"2007","Italy","21 years","Age reached during the year","Number","Total","552",""
"2007","Italy","21 years","Age reached during the year","Number","Males","295",""
"2007","Italy","21 years","Age reached during the year","Number","Females","257",""
"2007","Italy","22 years","Age reached during the year","Number","Total","575",""
"2007","Italy","22 years","Age reached during the year","Number","Males","288",""
"2007","Italy","22 years","Age reached during the year","Number","Females","287",""
"2007","Italy","23 years","Age reached during the year","Number","Total","692",""
"2007","Italy","23 years","Age reached during the year","Number","Males","355",""
"2007","Italy","23 years","Age reached during the year","Number","Females","337",""
"2007","Italy","24 years","Age reached during the year","Number","Total","876",""
"2007","Italy","24 years","Age reached during the year","Number","Males","478",""
"2007","Italy","24 years","Age reached during the year","Number","Females","398",""
"2007","Italy","25 years","Age reached during the year","Number","Total","1,059",""
"2007","Italy","25 years","Age reached during the year","Number","Males","552",""
"2007","Italy","25 years","Age reached during the year","Number","Females","507",""
"2007","Italy","26 years","Age reached during the year","Number","Total","1,307",""
"2007","Italy","26 years","Age reached during the year","Number","Males","671",""
"2007","Italy","26 years","Age reached during the year","Number","Females","636",""
"2007","Italy","27 years","Age reached during the year","Number","Total","1,327",""
"2007","Italy","27 years","Age reached during the year","Number","Males","674",""
"2007","Italy","27 years","Age reached during the year","Number","Females","653",""
"2007","Italy","28 years","Age reached during the year","Number","Total","1,429",""
"2007","Italy","28 years","Age reached during the year","Number","Males","807",""
"2007","Italy","28 years","Age reached during the year","Number","Females","622",""
"2007","Italy","29 years","Age reached during the year","Number","Total","1,604",""
"2007","Italy","29 years","Age reached during the year","Number","Males","865",""
"2007","Italy","29 years","Age reached during the year","Number","Females","739",""
"2007","Italy","30 years","Age reached during the year","Number","Total","1,642",""
"2007","Italy","30 years","Age reached during the year","Number","Males","906",""
"2007","Italy","30 years","Age reached during the year","Number","Females","736",""
"2007","Italy","31 years","Age reached during the year","Number","Total","1,702",""
"2007","Italy","31 years","Age reached during the year","Number","Males","952",""
"2007","Italy","31 years","Age reached during the year","Number","Females","750",""
"2007","Italy","32 years","Age reached during the year","Number","Total","1,712",""
"2007","Italy","32 years","Age reached during the year","Number","Males","987",""
"2007","Italy","32 years","Age reached during the year","Number","Females","725",""
"2007","Italy","33 years","Age reached during the year","Number","Total","1,746",""
"2007","Italy","33 years","Age reached during the year","Number","Males","979",""
"2007","Italy","33 years","Age reached during the year","Number","Females","767",""
"2007","Italy","34 years","Age reached during the year","Number","Total","1,674",""
"2007","Italy","34 years","Age reached during the year","Number","Males","959",""
"2007","Italy","34 years","Age reached during the year","Number","Females","715",""
"2007","Italy","35 years","Age reached during the year","Number","Total","1,541",""
"2007","Italy","35 years","Age reached during the year","Number","Males","883",""
"2007","Italy","35 years","Age reached during the year","Number","Females","658",""
"2007","Italy","36 years","Age reached during the year","Number","Total","1,407",""
"2007","Italy","36 years","Age reached during the year","Number","Males","819",""
"2007","Italy","36 years","Age reached during the year","Number","Females","588",""
"2007","Italy","37 years","Age reached during the year","Number","Total","1,280",""
"2007","Italy","37 years","Age reached during the year","Number","Males","743",""
"2007","Italy","37 years","Age reached during the year","Number","Females","537",""
"2007","Italy","38 years","Age reached during the year","Number","Total","1,276",""
"2007","Italy","38 years","Age reached during the year","Number","Males","757",""
"2007","Italy","38 years","Age reached during the year","Number","Females","519",""
"2007","Italy","39 years","Age reached during the year","Number","Total","1,184",""
"2007","Italy","39 years","Age reached during the year","Number","Males","685",""
"2007","Italy","39 years","Age reached during the year","Number","Females","499",""
